category,brand,model_name,price_vnd,image_url,inventory_status
Laptop,HP,HP 15 fc0023AU R5 7520U (D0BH1PA),18990000,/images/products/hp_hp-15-fc0023au-r5-7520u-d0bh1pa.jpg,Còn hàng
Laptop,MacBook,MacBook Neo 13 inch A18 Pro 8GB/256GB,18990000,/images/products/macbook_macbook-neo-13-inch-a18-pro-8gb256gb.jpg,Còn hàng
Laptop,Asus,Asus Vivobook S14 S3407VA Core 5 210H (LY146W),20190000,/images/products/asus_asus-vivobook-s14-s3407va-core-5-210h-ly146w.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15255 R5 7530U (DC5R5973W1-2Y),24990000,/images/products/dell_dell-15-dc15255-r5-7530u-dc5r5973w1-2y.jpg,Còn hàng
Laptop,MacBook,MacBook Air 13 inch M5 16GB/512GB/8GPU 30W,35490000,/images/products/macbook_macbook-air-13-inch-m5-16gb512gb8gpu-30w.jpg,Còn hàng
Laptop,HP,HP 240R G10 Core 3 100U (C3RU6AT),14490000,/images/products/hp_hp-240r-g10-core-3-100u-c3ru6at.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 16 A1607QA X1 26 100 (MB067W),18590000,/images/products/asus_asus-vivobook-16-a1607qa-x1-26-100-mb067w.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (DC5I7748W1),23990000,/images/products/dell_dell-15-dc15250-i7-1355u-dc5i7748w1.jpg,Còn hàng
Laptop,Lenovo,Lenovo IdeaPad Slim 3 15ARP10 R5 7535HS (83K700YUVN),19990000,/images/products/lenovo_lenovo-ideapad-slim-3-15arp10-r5-7535hs-83k700yuvn.jpg,Còn hàng
Laptop,MSI,MSI Modern 15 F13MG i5 1334U (667VN_16GB),18190000,/images/products/msi_msi-modern-15-f13mg-i5-1334u-667vn_16gb.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15-48P-R86Q R7 5825U (NX.DS1SV.002),18990000,/images/products/acer_acer-aspire-lite-15-al15-48p-r86q-r7-5825u-nxds1sv002.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15-53P-56QH Core 5 120U (NX.DG3SV.001),20990000,/images/products/acer_acer-aspire-lite-15-al15-53p-56qh-core-5-120u-nxdg3sv001.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 15 X1504VA Core 5 120U (BQ185WS),18990000,/images/products/asus_asus-vivobook-15-x1504va-core-5-120u-bq185ws.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (DC5I5897W1),21990000,/images/products/dell_dell-15-dc15250-i5-1334u-dc5i5897w1.jpg,Còn hàng
Laptop,Lenovo,Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0079VN),23390000,/images/products/lenovo_lenovo-gaming-loq-essential-15iax9e-i5-12450hx-83lk0079vn.jpg,Còn hàng
Laptop,MacBook,MacBook Air 15 inch M5 16GB/512GB 35W,41490000,/images/products/macbook_macbook-air-15-inch-m5-16gb512gb-35w.jpg,Còn hàng
Laptop,HP,HP 240R G10 Core 5 120U (C3RU7AT),19790000,/images/products/hp_hp-240r-g10-core-5-120u-c3ru7at.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15 72P 581V i5 13500H (NX.D4CSV.001),18490000,/images/products/acer_acer-aspire-lite-15-al15-72p-581v-i5-13500h-nxd4csv001.jpg,Còn hàng
Laptop,MSI,MSI Modern 15 F1MG-1264VN Core 5 120U,18690000,/images/products/msi_msi-modern-15-f1mg-1264vn-core-5-120u.jpg,Còn hàng
Laptop,Asus,Asus Vivobook Go 15 E1504FA R5 40 (BQ374W),18090000,/images/products/asus_asus-vivobook-go-15-e1504fa-r5-40-bq374w.jpg,Còn hàng
Laptop,Lenovo,Lenovo Ideapad Slim 3 16IRH10 i5 13420H (83K20003VN),19490000,/images/products/lenovo_lenovo-ideapad-slim-3-16irh10-i5-13420h-83k20003vn.jpg,Còn hàng
Laptop,HP,HP 15 fc0655AU R5 7430U (C81NGPA),18990000,/images/products/hp_hp-15-fc0655au-r5-7430u-c81ngpa.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 15 X1504VA Core 7 150U (BQ295W),22190000,/images/products/asus_asus-vivobook-15-x1504va-core-7-150u-bq295w.jpg,Còn hàng
Laptop,Dell,Dell 14 DC14250 Core 5 120U (DC4C5386W),28990000,/images/products/dell_dell-14-dc14250-core-5-120u-dc4c5386w.jpg,Còn hàng
Laptop,HP,HP 245 G10 R5 7530U (B8PF9AT),17490000,/images/products/hp_hp-245-g10-r5-7530u-b8pf9at.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (CPH99),20990000,/images/products/dell_dell-15-dc15250-i5-1334u-cph99.jpg,Còn hàng
Laptop,Asus,Asus TUF Gaming FA506NCQ R7 170 (HN005W),25990000,/images/products/asus_asus-tuf-gaming-fa506ncq-r7-170-hn005w.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15-49P-R6XX R5 7430U (NX.DRZSV.002),17690000,/images/products/acer_acer-aspire-lite-15-al15-49p-r6xx-r5-7430u-nxdrzsv002.jpg,Còn hàng
Laptop,Acer,Acer Gaming Aspire 7 A715-59G-59RD Core 5 210H (NH.DXUSV.001),25990000,/images/products/acer_acer-gaming-aspire-7-a715-59g-59rd-core-5-210h-nhdxusv001.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15-33P-38BA Core 3 N355 (NX.D2KSV.001),14490000,/images/products/acer_acer-aspire-lite-15-al15-33p-38ba-core-3-n355-nxd2ksv001.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 15 X1504VA i3 1315U (BQ3394W),15690000,/images/products/asus_asus-vivobook-15-x1504va-i3-1315u-bq3394w.jpg,Còn hàng
Laptop,HP,HP 240R G9 i3 1315U (AX3C6AT),14490000,/images/products/hp_hp-240r-g9-i3-1315u-ax3c6at.jpg,Còn hàng
Laptop,HP,HP 15 fd0015TU i7 1355U (A19C5PA),21190000,/images/products/hp_hp-15-fd0015tu-i7-1355u-a19c5pa.jpg,Còn hàng
Laptop,Lenovo,Lenovo Gaming LOQ 15IRX9 i5 13450HX (83DV003CVN),26990000,/images/products/lenovo_lenovo-gaming-loq-15irx9-i5-13450hx-83dv003cvn.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15255 R7 7730U (X9YM41),21990000,/images/products/dell_dell-15-dc15255-r7-7730u-x9ym41.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (71092479),21990000,/images/products/dell_dell-15-dc15250-i5-1334u-71092479.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 14 X1407CA Ultra 5 225H (LY008W),21990000,/images/products/asus_asus-vivobook-14-x1407ca-ultra-5-225h-ly008w.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro ProPanel ANV15 41 R9M1 R5 7535HS (NH.QPFSV.004),24990000,/images/products/acer_acer-gaming-nitro-propanel-anv15-41-r9m1-r5-7535hs-nhqpfsv004.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15-21P-R91W R5 40 (NX.DNRSV.002),19590000,/images/products/acer_acer-aspire-lite-15-al15-21p-r91w-r5-40-nxdnrsv002.jpg,Còn hàng
Laptop,MacBook,MacBook Pro 16 inch M5 Pro 48GB/1TB,97990000,/images/products/macbook_macbook-pro-16-inch-m5-pro-48gb1tb.jpg,Còn hàng
Laptop,Acer,Acer Aspire Go 15 AG15-52P-52WT Ultra 5 115U (NX.JWKSV.001),21690000,/images/products/acer_acer-aspire-go-15-ag15-52p-52wt-ultra-5-115u-nxjwksv001.jpg,Còn hàng
Laptop,HP,HP Pavilion 16 af0055TU Ultra 5 125U (AY8C4PA),21990000,/images/products/hp_hp-pavilion-16-af0055tu-ultra-5-125u-ay8c4pa.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite AL14 52M 54CJ i5 1334U (NX.J39SV.002),15290000,/images/products/acer_acer-aspire-lite-al14-52m-54cj-i5-1334u-nxj39sv002.jpg,Còn hàng
Laptop,Asus,Asus Vivobook S16 S3607VA Core 5 210H (RP155WS),20690000,/images/products/asus_asus-vivobook-s16-s3607va-core-5-210h-rp155ws.jpg,Còn hàng
Laptop,Lenovo,Lenovo IdeaPad Slim 5 OLED 14AKP10 R7 AI 350 (83HX0066VN),28490000,/images/products/lenovo_lenovo-ideapad-slim-5-oled-14akp10-r7-ai-350-83hx0066vn.jpg,Còn hàng
Laptop,HP,HP 240 G10 i3 1315U (B73TJAT),14490000,/images/products/hp_hp-240-g10-i3-1315u-b73tjat.jpg,Còn hàng
